Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
15-Jul-21,15872.15,15952.35,15855,15924.2,284851049,20961.37
16-Jul-21,15958.35,15962.25,15882.6,15923.4,276298105,18758.13
19-Jul-21,15754.5,15836.9,15707.5,15752.4,242131813,18088.78
20-Jul-21,15703.95,15728.45,15578.55,15632.1,274284165,21329.55
22-Jul-21,15736.6,15834.8,15726.4,15824.05,265250867,23988.39
23-Jul-21,15856.8,15899.8,15768.4,15856.05,294098244,20685.82
26-Jul-21,15849.3,15893.35,15797,15824.45,267076679,19487.18
27-Jul-21,15860.5,15881.55,15701,15746.45,311012065,26117.34
28-Jul-21,15761.55,15767.5,15513.45,15709.4,318601589,26090.48
29-Jul-21,15762.7,15817.35,15737.8,15778.45,401584915,29460.54
30-Jul-21,15800.6,15862.8,15744.85,15763.05,400021237,30539.63
02-Aug-21,15874.9,15892.9,15834.65,15885.15,244847433,20766.99
03-Aug-21,15951.55,16146.9,15914.35,16130.75,341289658,26373.24
04-Aug-21,16195.25,16290.2,16176.15,16258.8,427337644,32434.78
05-Aug-21,16288.95,16349.45,16210.3,16294.6,418174517,31386.78
06-Aug-21,16304.4,16336.75,16223.3,16238.2,320087281,24716.17
09-Aug-21,16281.35,16320.75,16179.05,16258.25,240452917,18302.03
10-Aug-21,16274.8,16359.25,16202.25,16280.1,287989486,22600.38
11-Aug-21,16327.3,16338.75,16162.55,16282.25,277895886,20306.59
12-Aug-21,16303.65,16375.5,16286.9,16364.4,280181324,18548.87
13-Aug-21,16385.7,16543.6,16376.3,16529.1,321866286,27163.08
16-Aug-21,16518.4,16589.4,16480.75,16563.05,254049330,21456.2
17-Aug-21,16545.25,16628.55,16495.4,16614.6,297388470,25696.44
18-Aug-21,16691.95,16701.85,16535.85,16568.85,251796822,22721.54
20-Aug-21,16382.5,16509.55,16376.05,16450.5,350819323,30118.23
23-Aug-21,16592.25,16592.5,16395.7,16496.45,275597782,24355.77
24-Aug-21,16561.4,16647.1,16495.3,16624.6,275362819,24992.32
25-Aug-21,16654,16712.45,16617.5,16634.65,265920141,22210.6
26-Aug-21,16627.95,16683.7,16603.4,16636.9,253530997,22320.21
27-Aug-21,16642.55,16722.05,16565.6,16705.2,217405743,20499.85
30-Aug-21,16775.85,16951.5,16764.85,16931.05,283483108,23615.87
31-Aug-21,16947.5,17153.5,16915.85,17132.2,464390247,40147.89
01-Sep-21,17185.6,17225.75,17055.05,17076.25,301894634,27691.93
02-Sep-21,17095.4,17245.5,17059.7,17234.15,242377518,22620.36
03-Sep-21,17262.45,17340.1,17212.2,17323.6,261373795,23579.17
06-Sep-21,17399.35,17429.55,17345.55,17377.8,228045532,21270.62
